$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_sur,td2qr,tck2qr,temper,alter#
-1.5000e-10,-1.5000e-10, 2.0313e-08, 2.0463e-08,  25.00000,1
-1.4900e-10,-1.4900e-10, 2.0314e-08, 2.0463e-08,  25.00000,1
-1.4800e-10,-1.4800e-10, 2.0315e-08, 2.0463e-08,  25.00000,1
-1.4700e-10,-1.4700e-10, 2.0316e-08, 2.0463e-08,  25.00000,1
-1.4600e-10,-1.4600e-10, 2.0317e-08, 2.0463e-08,  25.00000,1
-1.4500e-10,-1.4500e-10, 2.0318e-08, 2.0463e-08,  25.00000,1
-1.4400e-10,-1.4400e-10, 2.0319e-08, 2.0463e-08,  25.00000,1
-1.4300e-10,-1.4300e-10, 2.0320e-08, 2.0463e-08,  25.00000,1
-1.4200e-10,-1.4200e-10, 2.0321e-08, 2.0463e-08,  25.00000,1
-1.4100e-10,-1.4100e-10, 2.0322e-08, 2.0463e-08,  25.00000,1
-1.4000e-10,-1.4000e-10, 2.0323e-08, 2.0463e-08,  25.00000,1
-1.3900e-10,-1.3900e-10, 2.0324e-08, 2.0463e-08,  25.00000,1
-1.3800e-10,-1.3800e-10, 2.0325e-08, 2.0463e-08,  25.00000,1
-1.3700e-10,-1.3700e-10, 2.0326e-08, 2.0463e-08,  25.00000,1
-1.3600e-10,-1.3600e-10, 2.0327e-08, 2.0463e-08,  25.00000,1
-1.3500e-10,-1.3500e-10, 2.0328e-08, 2.0463e-08,  25.00000,1
-1.3400e-10,-1.3400e-10, 2.0329e-08, 2.0463e-08,  25.00000,1
-1.3300e-10,-1.3300e-10, 2.0330e-08, 2.0463e-08,  25.00000,1
-1.3200e-10,-1.3200e-10, 2.0331e-08, 2.0463e-08,  25.00000,1
-1.3100e-10,-1.3100e-10, 2.0332e-08, 2.0463e-08,  25.00000,1
-1.3000e-10,-1.3000e-10, 2.0333e-08, 2.0463e-08,  25.00000,1
-1.2900e-10,-1.2900e-10, 2.0334e-08, 2.0463e-08,  25.00000,1
-1.2800e-10,-1.2800e-10, 2.0335e-08, 2.0463e-08,  25.00000,1
-1.2700e-10,-1.2700e-10, 2.0336e-08, 2.0463e-08,  25.00000,1
-1.2600e-10,-1.2600e-10, 2.0337e-08, 2.0463e-08,  25.00000,1
-1.2500e-10,-1.2500e-10, 2.0338e-08, 2.0463e-08,  25.00000,1
-1.2400e-10,-1.2400e-10, 2.0339e-08, 2.0463e-08,  25.00000,1
-1.2300e-10,-1.2300e-10, 2.0340e-08, 2.0463e-08,  25.00000,1
-1.2200e-10,-1.2200e-10, 2.0341e-08, 2.0463e-08,  25.00000,1
-1.2100e-10,-1.2100e-10, 2.0342e-08, 2.0463e-08,  25.00000,1
-1.2000e-10,-1.2000e-10, 2.0343e-08, 2.0463e-08,  25.00000,1
-1.1900e-10,-1.1900e-10, 2.0344e-08, 2.0463e-08,  25.00000,1
-1.1800e-10,-1.1800e-10, 2.0345e-08, 2.0463e-08,  25.00000,1
