$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_suf,td2qf,tck2qf,temper,alter#
-1.5000e-10,-1.5000e-10, 2.0350e-08, 2.0500e-08,  25.00000,1
-1.4900e-10,-1.4900e-10, 2.0351e-08, 2.0500e-08,  25.00000,1
-1.4800e-10,-1.4800e-10, 2.0352e-08, 2.0500e-08,  25.00000,1
-1.4700e-10,-1.4700e-10, 2.0353e-08, 2.0500e-08,  25.00000,1
-1.4600e-10,-1.4600e-10, 2.0354e-08, 2.0500e-08,  25.00000,1
-1.4500e-10,-1.4500e-10, 2.0355e-08, 2.0500e-08,  25.00000,1
-1.4400e-10,-1.4400e-10, 2.0356e-08, 2.0500e-08,  25.00000,1
-1.4300e-10,-1.4300e-10, 2.0357e-08, 2.0500e-08,  25.00000,1
-1.4200e-10,-1.4200e-10, 2.0358e-08, 2.0500e-08,  25.00000,1
-1.4100e-10,-1.4100e-10, 2.0359e-08, 2.0500e-08,  25.00000,1
-1.4000e-10,-1.4000e-10, 2.0360e-08, 2.0500e-08,  25.00000,1
-1.3900e-10,-1.3900e-10, 2.0361e-08, 2.0500e-08,  25.00000,1
-1.3800e-10,-1.3800e-10, 2.0362e-08, 2.0500e-08,  25.00000,1
-1.3700e-10,-1.3700e-10, 2.0363e-08, 2.0500e-08,  25.00000,1
-1.3600e-10,-1.3600e-10, 2.0364e-08, 2.0500e-08,  25.00000,1
-1.3500e-10,-1.3500e-10, 2.0365e-08, 2.0500e-08,  25.00000,1
-1.3400e-10,-1.3400e-10, 2.0366e-08, 2.0500e-08,  25.00000,1
-1.3300e-10,-1.3300e-10, 2.0367e-08, 2.0500e-08,  25.00000,1
-1.3200e-10,-1.3200e-10, 2.0368e-08, 2.0500e-08,  25.00000,1
-1.3100e-10,-1.3100e-10, 2.0369e-08, 2.0500e-08,  25.00000,1
-1.3000e-10,-1.3000e-10, 2.0370e-08, 2.0500e-08,  25.00000,1
-1.2900e-10,-1.2900e-10, 2.0371e-08, 2.0500e-08,  25.00000,1
-1.2800e-10,-1.2800e-10, 2.0372e-08, 2.0500e-08,  25.00000,1
-1.2700e-10,-1.2700e-10, 2.0373e-08, 2.0500e-08,  25.00000,1
-1.2600e-10,-1.2600e-10, 2.0374e-08, 2.0500e-08,  25.00000,1
-1.2500e-10,-1.2500e-10, 2.0375e-08, 2.0500e-08,  25.00000,1
-1.2400e-10,-1.2400e-10, 2.0376e-08, 2.0500e-08,  25.00000,1
-1.2300e-10,-1.2300e-10, 2.0377e-08, 2.0500e-08,  25.00000,1
-1.2200e-10,-1.2200e-10, 2.0378e-08, 2.0500e-08,  25.00000,1
-1.2100e-10,-1.2100e-10, 2.0379e-08, 2.0500e-08,  25.00000,1
-1.2000e-10,-1.2000e-10, 2.0380e-08, 2.0500e-08,  25.00000,1
-1.1900e-10,-1.1900e-10, 2.0381e-08, 2.0500e-08,  25.00000,1
-1.1800e-10,-1.1800e-10, 2.0382e-08, 2.0500e-08,  25.00000,1
-1.1700e-10,-1.1700e-10, 2.0383e-08, 2.0500e-08,  25.00000,1
-1.1600e-10,-1.1600e-10, 2.0384e-08, 2.0500e-08,  25.00000,1
-1.1500e-10,-1.1500e-10, 2.0385e-08, 2.0500e-08,  25.00000,1
-1.1400e-10,-1.1400e-10, 2.0386e-08, 2.0500e-08,  25.00000,1
-1.1300e-10,-1.1300e-10, 2.0387e-08, 2.0500e-08,  25.00000,1
-1.1200e-10,-1.1200e-10, 2.0388e-08, 2.0500e-08,  25.00000,1
-1.1100e-10,-1.1100e-10, 2.0389e-08, 2.0500e-08,  25.00000,1
-1.1000e-10,-1.1000e-10, 2.0390e-08, 2.0500e-08,  25.00000,1
-1.0900e-10,-1.0900e-10, 2.0391e-08, 2.0500e-08,  25.00000,1
-1.0800e-10,-1.0800e-10, 2.0392e-08, 2.0500e-08,  25.00000,1
-1.0700e-10,-1.0700e-10, 2.0393e-08, 2.0500e-08,  25.00000,1
-1.0600e-10,-1.0600e-10, 2.0394e-08, 2.0500e-08,  25.00000,1
-1.0500e-10,-1.0500e-10, 2.0395e-08, 2.0500e-08,  25.00000,1
-1.0400e-10,-1.0400e-10, 2.0396e-08, 2.0500e-08,  25.00000,1
-1.0300e-10,-1.0300e-10, 2.0397e-08, 2.0500e-08,  25.00000,1
-1.0200e-10,-1.0200e-10, 2.0398e-08, 2.0500e-08,  25.00000,1
-1.0100e-10,-1.0100e-10, 2.0399e-08, 2.0500e-08,  25.00000,1
-1.0000e-10,-1.0000e-10, 2.0400e-08, 2.0500e-08,  25.00000,1
-9.9000e-11,-9.9000e-11, 2.0401e-08, 2.0500e-08,  25.00000,1
-9.8000e-11,-9.8000e-11, 2.0402e-08, 2.0500e-08,  25.00000,1
-9.7000e-11,-9.7000e-11, 2.0403e-08, 2.0500e-08,  25.00000,1
-9.6000e-11,-9.6000e-11, 2.0404e-08, 2.0500e-08,  25.00000,1
-9.5000e-11,-9.5000e-11, 2.0405e-08, 2.0500e-08,  25.00000,1
-9.4000e-11,-9.4000e-11, 2.0406e-08, 2.0500e-08,  25.00000,1
-9.3000e-11,-9.3000e-11, 2.0407e-08, 2.0500e-08,  25.00000,1
-9.2000e-11,-9.2000e-11, 2.0408e-08, 2.0500e-08,  25.00000,1
-9.1000e-11,-9.1000e-11, 2.0409e-08, 2.0500e-08,  25.00000,1
-9.0000e-11,-9.0000e-11, 2.0410e-08, 2.0500e-08,  25.00000,1
-8.9000e-11,-8.9000e-11, 2.0411e-08, 2.0500e-08,  25.00000,1
-8.8000e-11,-8.8000e-11, 2.0412e-08, 2.0500e-08,  25.00000,1
-8.7000e-11,-8.7000e-11, 2.0413e-08, 2.0500e-08,  25.00000,1
-8.6000e-11,-8.6000e-11, 2.0414e-08, 2.0500e-08,  25.00000,1
-8.5000e-11,-8.5000e-11, 2.0415e-08, 2.0500e-08,  25.00000,1
-8.4000e-11,-8.4000e-11, 2.0416e-08, 2.0500e-08,  25.00000,1
-8.3000e-11,-8.3000e-11, 2.0417e-08, 2.0500e-08,  25.00000,1
-8.2000e-11,-8.2000e-11, 2.0418e-08, 2.0500e-08,  25.00000,1
-8.1000e-11,-8.1000e-11, 2.0419e-08, 2.0500e-08,  25.00000,1
-8.0000e-11,-8.0000e-11, 2.0420e-08, 2.0500e-08,  25.00000,1
-7.9000e-11,-7.9000e-11, 2.0421e-08, 2.0500e-08,  25.00000,1
-7.8000e-11,-7.8000e-11, 2.0422e-08, 2.0500e-08,  25.00000,1
-7.7000e-11,-7.7000e-11, 2.0423e-08, 2.0500e-08,  25.00000,1
-7.6000e-11,-7.6000e-11, 2.0424e-08, 2.0500e-08,  25.00000,1
-7.5000e-11,-7.5000e-11, 2.0425e-08, 2.0500e-08,  25.00000,1
-7.4000e-11,-7.4000e-11, 2.0426e-08, 2.0500e-08,  25.00000,1
-7.3000e-11,-7.3000e-11, 2.0427e-08, 2.0500e-08,  25.00000,1
-7.2000e-11,-7.2000e-11, 2.0428e-08, 2.0500e-08,  25.00000,1
-7.1000e-11,-7.1000e-11, 2.0429e-08, 2.0500e-08,  25.00000,1
-7.0000e-11,-7.0000e-11, 2.0430e-08, 2.0500e-08,  25.00000,1
-6.9000e-11,-6.9000e-11, 2.0431e-08, 2.0500e-08,  25.00000,1
-6.8000e-11,-6.8000e-11, 2.0432e-08, 2.0500e-08,  25.00000,1
-6.7000e-11,-6.7000e-11, 2.0433e-08, 2.0500e-08,  25.00000,1
-6.6000e-11,-6.6000e-11, 2.0434e-08, 2.0500e-08,  25.00000,1
-6.5000e-11,-6.5000e-11, 2.0435e-08, 2.0500e-08,  25.00000,1
-6.4000e-11,-6.4000e-11, 2.0436e-08, 2.0500e-08,  25.00000,1
-6.3000e-11,-6.3000e-11, 2.0437e-08, 2.0500e-08,  25.00000,1
-6.2000e-11,-6.2000e-11, 2.0438e-08, 2.0500e-08,  25.00000,1
-6.1000e-11,-6.1000e-11, 2.0439e-08, 2.0500e-08,  25.00000,1
-6.0000e-11,-6.0000e-11, 2.0440e-08, 2.0500e-08,  25.00000,1
-5.9000e-11,-5.9000e-11, 2.0441e-08, 2.0500e-08,  25.00000,1
