$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_hr,tc2q,temper,alter#
-1.5000e-10,-1.5000e-10, 2.0399e-08,  25.00000,1
-1.4900e-10,-1.4900e-10, 2.0398e-08,  25.00000,1
-1.4800e-10,-1.4800e-10, 2.0399e-08,  25.00000,1
-1.4700e-10,-1.4700e-10, 2.0399e-08,  25.00000,1
-1.4600e-10,-1.4600e-10, 2.0399e-08,  25.00000,1
-1.4500e-10,-1.4500e-10, 2.0399e-08,  25.00000,1
-1.4400e-10,-1.4400e-10, 2.0399e-08,  25.00000,1
-1.4300e-10,-1.4300e-10, 2.0399e-08,  25.00000,1
-1.4200e-10,-1.4200e-10, 2.0399e-08,  25.00000,1
-1.4100e-10,-1.4100e-10, 2.0399e-08,  25.00000,1
-1.4000e-10,-1.4000e-10, 2.0399e-08,  25.00000,1
-1.3900e-10,-1.3900e-10, 2.0399e-08,  25.00000,1
-1.3800e-10,-1.3800e-10, 2.0399e-08,  25.00000,1
-1.3700e-10,-1.3700e-10, 2.0398e-08,  25.00000,1
-1.3600e-10,-1.3600e-10, 2.0399e-08,  25.00000,1
-1.3500e-10,-1.3500e-10, 2.0399e-08,  25.00000,1
-1.3400e-10,-1.3400e-10, 2.0398e-08,  25.00000,1
-1.3300e-10,-1.3300e-10, 2.0398e-08,  25.00000,1
-1.3200e-10,-1.3200e-10, 2.0399e-08,  25.00000,1
-1.3100e-10,-1.3100e-10, 2.0399e-08,  25.00000,1
-1.3000e-10,-1.3000e-10, 2.0399e-08,  25.00000,1
-1.2900e-10,-1.2900e-10, 2.0399e-08,  25.00000,1
-1.2800e-10,-1.2800e-10, 2.0399e-08,  25.00000,1
-1.2700e-10,-1.2700e-10, 2.0398e-08,  25.00000,1
-1.2600e-10,-1.2600e-10, 2.0398e-08,  25.00000,1
-1.2500e-10,-1.2500e-10, 2.0399e-08,  25.00000,1
-1.2400e-10,-1.2400e-10, 2.0399e-08,  25.00000,1
-1.2300e-10,-1.2300e-10, 2.0399e-08,  25.00000,1
-1.2200e-10,-1.2200e-10, 2.0399e-08,  25.00000,1
-1.2100e-10,-1.2100e-10, 2.0399e-08,  25.00000,1
-1.2000e-10,-1.2000e-10, 2.0398e-08,  25.00000,1
-1.1900e-10,-1.1900e-10, 2.0399e-08,  25.00000,1
-1.1800e-10,-1.1800e-10, 2.0399e-08,  25.00000,1
-1.1700e-10,-1.1700e-10, 2.0399e-08,  25.00000,1
-1.1600e-10,-1.1600e-10, 2.0399e-08,  25.00000,1
-1.1500e-10,-1.1500e-10, 2.0399e-08,  25.00000,1
-1.1400e-10,-1.1400e-10, 2.0399e-08,  25.00000,1
-1.1300e-10,-1.1300e-10, 2.0399e-08,  25.00000,1
-1.1200e-10,-1.1200e-10, 2.0399e-08,  25.00000,1
-1.1100e-10,-1.1100e-10, 2.0399e-08,  25.00000,1
-1.1000e-10,-1.1000e-10, 2.0399e-08,  25.00000,1
-1.0900e-10,-1.0900e-10, 2.0399e-08,  25.00000,1
-1.0800e-10,-1.0800e-10, 2.0399e-08,  25.00000,1
-1.0700e-10,-1.0700e-10, 2.0399e-08,  25.00000,1
-1.0600e-10,-1.0600e-10, 2.0399e-08,  25.00000,1
-1.0500e-10,-1.0500e-10, 2.0399e-08,  25.00000,1
-1.0400e-10,-1.0400e-10, 2.0399e-08,  25.00000,1
-1.0300e-10,-1.0300e-10, 2.0398e-08,  25.00000,1
-1.0200e-10,-1.0200e-10, 2.0399e-08,  25.00000,1
-1.0100e-10,-1.0100e-10, 2.0398e-08,  25.00000,1
-1.0000e-10,-1.0000e-10, 2.0399e-08,  25.00000,1
-9.9000e-11,-9.9000e-11, 2.0399e-08,  25.00000,1
-9.8000e-11,-9.8000e-11, 2.0399e-08,  25.00000,1
-9.7000e-11,-9.7000e-11, 2.0399e-08,  25.00000,1
-9.6000e-11,-9.6000e-11, 2.0399e-08,  25.00000,1
-9.5000e-11,-9.5000e-11, 2.0399e-08,  25.00000,1
-9.4000e-11,-9.4000e-11, 2.0398e-08,  25.00000,1
-9.3000e-11,-9.3000e-11, 2.0398e-08,  25.00000,1
-9.2000e-11,-9.2000e-11, 2.0399e-08,  25.00000,1
-9.1000e-11,-9.1000e-11, 2.0399e-08,  25.00000,1
-9.0000e-11,-9.0000e-11, 2.0399e-08,  25.00000,1
-8.9000e-11,-8.9000e-11, 2.0399e-08,  25.00000,1
-8.8000e-11,-8.8000e-11, 2.0399e-08,  25.00000,1
-8.7000e-11,-8.7000e-11, 2.0399e-08,  25.00000,1
-8.6000e-11,-8.6000e-11, 2.0399e-08,  25.00000,1
-8.5000e-11,-8.5000e-11, 2.0399e-08,  25.00000,1
-8.4000e-11,-8.4000e-11, 2.0399e-08,  25.00000,1
-8.3000e-11,-8.3000e-11, 2.0398e-08,  25.00000,1
-8.2000e-11,-8.2000e-11, 2.0399e-08,  25.00000,1
-8.1000e-11,-8.1000e-11, 2.0398e-08,  25.00000,1
-8.0000e-11,-8.0000e-11, 2.0399e-08,  25.00000,1
-7.9000e-11,-7.9000e-11, 2.0399e-08,  25.00000,1
