$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_sur,td2qr,tck2qr,temper,alter#
-1.5000e-10,-1.5000e-10, 2.0226e-08, 2.0376e-08,  25.00000,1
-1.4900e-10,-1.4900e-10, 2.0227e-08, 2.0376e-08,  25.00000,1
-1.4800e-10,-1.4800e-10, 2.0228e-08, 2.0376e-08,  25.00000,1
-1.4700e-10,-1.4700e-10, 2.0229e-08, 2.0376e-08,  25.00000,1
-1.4600e-10,-1.4600e-10, 2.0230e-08, 2.0376e-08,  25.00000,1
-1.4500e-10,-1.4500e-10, 2.0231e-08, 2.0376e-08,  25.00000,1
-1.4400e-10,-1.4400e-10, 2.0232e-08, 2.0376e-08,  25.00000,1
-1.4300e-10,-1.4300e-10, 2.0233e-08, 2.0376e-08,  25.00000,1
-1.4200e-10,-1.4200e-10, 2.0234e-08, 2.0376e-08,  25.00000,1
-1.4100e-10,-1.4100e-10, 2.0235e-08, 2.0376e-08,  25.00000,1
-1.4000e-10,-1.4000e-10, 2.0236e-08, 2.0376e-08,  25.00000,1
-1.3900e-10,-1.3900e-10, 2.0237e-08, 2.0376e-08,  25.00000,1
-1.3800e-10,-1.3800e-10, 2.0238e-08, 2.0376e-08,  25.00000,1
-1.3700e-10,-1.3700e-10, 2.0239e-08, 2.0376e-08,  25.00000,1
-1.3600e-10,-1.3600e-10, 2.0240e-08, 2.0376e-08,  25.00000,1
-1.3500e-10,-1.3500e-10, 2.0241e-08, 2.0376e-08,  25.00000,1
-1.3400e-10,-1.3400e-10, 2.0242e-08, 2.0376e-08,  25.00000,1
-1.3300e-10,-1.3300e-10, 2.0243e-08, 2.0376e-08,  25.00000,1
-1.3200e-10,-1.3200e-10, 2.0244e-08, 2.0376e-08,  25.00000,1
-1.3100e-10,-1.3100e-10, 2.0245e-08, 2.0376e-08,  25.00000,1
-1.3000e-10,-1.3000e-10, 2.0246e-08, 2.0376e-08,  25.00000,1
-1.2900e-10,-1.2900e-10, 2.0247e-08, 2.0376e-08,  25.00000,1
-1.2800e-10,-1.2800e-10, 2.0248e-08, 2.0376e-08,  25.00000,1
-1.2700e-10,-1.2700e-10, 2.0249e-08, 2.0376e-08,  25.00000,1
-1.2600e-10,-1.2600e-10, 2.0250e-08, 2.0376e-08,  25.00000,1
-1.2500e-10,-1.2500e-10, 2.0251e-08, 2.0376e-08,  25.00000,1
-1.2400e-10,-1.2400e-10, 2.0252e-08, 2.0376e-08,  25.00000,1
-1.2300e-10,-1.2300e-10, 2.0253e-08, 2.0376e-08,  25.00000,1
-1.2200e-10,-1.2200e-10, 2.0254e-08, 2.0376e-08,  25.00000,1
